Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
,Yes,Radiant,"3,31",VS1,I,,,,"765,00","2532,15",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAA115A-11,-,EX,EX,"65,80","63,50",,,IGI,536269176,,,,,,,,,,10.3,7.29,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,29",VS1,D,,,,"1525,00","5017,25",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK25M-9,-,EX,EX,"64,50","64,00",,,GIA,6442826521,,,,,,,,,,10.65,7.33,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,29",VVS2,E,,,,"1525,00","5017,25",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK27M-3,-,EX,EX,"66,20","63,00",,,GIA,2446826721,,,,,,,,,,10.5,7.23,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,28",VS1,E,,,,"1400,00","4592,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA06K-6,-,EX,EX,"66,10","64,00",,,GIA,6431710771,,,,,,,,,,10.71,7.26,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,28",VVS2,E,,,,"1525,00","5002,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA07D-2,-,EX,EX,"66,90","60,00",,,GIA,6432854309,,,,,,,,,,10.58,7.22,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,28",VS1,E,,,,"1400,00","4592,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK27B-3,-,EX,EX,"66,50","59,00",,,GIA,2447658379,,,,,,,,,,10.8,7.14,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,27",VVS2,E,,,,"1525,00","4986,75",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA07E-4,-,EX,EX,"61,00","61,00",,,GIA,7433995760,,,,,,,,,,10.45,7.25,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,27",VS1,E,,,,"1400,00","4578,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA08C-4,-,EX,EX,"60,00","60,00",,,GIA,7436995854,,,,,,,,,,10.72,7.14,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,26",VS1,I,,,,"765,00","2493,90",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LAB04A-11,-,EX,EX,"66,80","64,50",,,IGI,542210498,,,,,,,,,,10.44,7.28,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,25",VS1,D,,,,"1525,00","4956,25",,,,,,,,https://agensolution.co.in/newproductdetail.php?rndcode=LLK28A-5,-,EX,EX,"66,80","61,00",,,GIA,6445826485,,,,,,,,,,10.57,7.17,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,24",VS1,F,,,,"1250,00","4050,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA08C-7,-,EX,EX,"61,00","61,00",,,GIA,5433995801,,,,,,,,,,10.53,7.15,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,24",VS1,I,,,,"765,00","2478,60",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LBA68A-12,-,EX,EX,"70,70","65,00",,,IGI,532250136,,,,,,,,,,10.34,07.09,05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,23",VS1,H,,,,"1000,00","3230,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA04E-3,-,VG,EX,"65,70","64,00",,,GIA,6421816597,,,,,,,,,,10.48,7.35,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,23",VS1,E,,,,"1260,00","4069,80",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK26J-8,-,EX,EX,"66,80","66,00",,,IGI,551207796,,,,,,,,,,10.48,7.1,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,23",VS1,E,,,,"1400,00","4522,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAC01A-14,-,EX,EX,"67,50","60,00",,,GIA,2447239106,,,,,,,,,,10.43,7.15,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,23",VVS2,E,,,,"1525,00","4925,75",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK20A-10,-,EX,EX,"67,40","64,00",,,GIA,2446818208,,,,,,,,,,10.61,07.07,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,22",VS2,G,,,,"922,50","2970,45",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LHG16A-3,-,EX,EX,"67,10","64,00",,,IGI,544271001,,,,,,,,,,10.22,7.26,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,22",VS1,E,,,,"1400,00","4508,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK27C-3,-,EX,EX,"65,10","62,00",,,GIA,6442702254,,,,,,,,,,10.78,7.18,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,21",VS2,H,,,,"810,00","2600,10",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGI09E-5,-,EX,EX,"66,10","65,00",,,IGI,476157586,,,,,,,,,,10.2,7.57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,21",VVS2,D,,,,"1675,00","5376,75",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA06K-4,-,EX,EX,"67,40","62,00",,,GIA,1438752386,,,,,,,,,,10.34,7.22,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,21",VVS2,E,,,,"1525,00","4895,25",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK19A-9,-,EX,EX,"66,40","65,00",,,GIA,5446817513,,,,,,,,,,10.37,7.19,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,21",VVS2,F,,,,"1400,00","4494,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK27B-1,-,EX,EX,"65,70","61,00",,,GIA,1443657294,,,,,,,,,,10.57,7.22,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,21",SI1,K,,,,"396,00","1271,16",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGS12A-843,-,EX,EX,"65,90","64,50",,,IGI,547246777,,,,,,,,,,10.39,7.25,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,20",SI1,J,,,,"499,50","1598,40",,,,,,,,,-,EX,EX,"64,70","62,50",,,IGI,530215999,,,,,,,,,,10.52,7.25,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,19",VS2,H,,,,"810,00","2583,90",,,,,,,,,-,EX,EX,"68,60","59,50",,,IGI,536206363,,,,,,,,,,10.31,07.07,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,19",VS1,D,,,,"1525,00","4864,75",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA06K-7,-,EX,EX,"66,30","59,00",,,GIA,7436709998,,,,,,,,,,10.35,7.22,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,18",VS1,E,,,,"1400,00","4452,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA07F-6,-,EX,EX,"65,90","63,00",,,GIA,5443206745,,,,,,,,,,10.15,7.19,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,17",VS1,G,,,,"1012,50","3209,63",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAD09A-9,-,EX,EX,"68,00","64,00",,,IGI,551207854,,,,,,,,,,10.18,7.15,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,17",VVS2,E,,,,"1525,00","4834,25",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA06I-5,-,EX,EX,"67,50","61,00",,,GIA,5436854119,,,,,,,,,,10.41,07.07,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,17",SI1,F,,,,"975,00","3090,75",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LEP127C-1,-,EX,EX,"65,00","65,00",,,GIA,6435672258,,,,,,,,,,10.31,7.24,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,16",VVS2,G,,,,"1125,00","3555,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LKB06H-1,-,EX,EX,"67,60","65,00",,,IGI,544254066,,,,,,,,,,10.32,7.2,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,16",VVS2,E,,,,"1525,00","4819,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA07G-6,-,EX,EX,"67,50","61,00",,,GIA,6431710041,,,,,,,,,,10.25,7.11,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
