Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
,Yes,Pear,"0,31",VS2,G,,,,500,155,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA42A-2,VG,VG,VG,"62,2",60,,,GCAL,321800047,,,,,,,,,,6.16,3.74,2.32,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,31",SI1,G,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA85A-2,VG,GD,VG,"61,7",62,,,GCAL,321920264,,,,,,,,,,6.99,3.56,2.20,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Baguette,"0,31",VS2,F,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA39A-2,VG,VG,VG,"56,5",74,,,GCAL,322140701,,,,,,,,,,5.47,1.1,1.66,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,31",SI1,F,,,,500,155,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA104A-4,VG,VG,VG,"60,7",61,,,GCAL,322140719,,,,,,,,,,04.01,3.86,01.01,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Pear,"0,32",VS2,G,,,,500,160,,,,,,,,-,VG,VG,VG,"62,9",64,,,GCAL,321800048,,,,,,,,,,6.42,3.70,2.33,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,32",VS2,I,,,,500,160,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA54A-202,VG,GD,GD,"62,1",64,,,GCAL,322690194,,,,,,,,,,5.78,2.1,2.31,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Marquise,"0,33",VS2,H,,,,500,165,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA49A-2,VG,VG,GD,"63,6",58,,,GCAL,321920265,,,,,,,,,,7.19,3.57,2.27,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,33",SI2,F,,,,500,165,,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=ZAA52A-2,ID,EX,EX,"61,6",54,,,GCAL,321800056,,,,,,,,,,4.44,4.47,2.75,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Round,"0,34",VS2,H,,,,500,170,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA84A-3,VG,EX,VG,"61,3",56,,,GCAL,322140710,,,,,,,,,,4.5,3.1,2.77,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
,Yes,Oval,"0,34",VS2,F,,,,500,170,,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=ZAA64A-201,G,EX,GD,"56,7",62,,,GCAL,322500087,,,,,,,,,,5.95,3.99,2.26,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,HPHT
